id,title,ingredients,directions,link,source,NER,occasion,flavour_profile
44,Strawberry Cake,"[""1 box white cake mix"", ""1 box strawberry jello"", ""1/2 c. water"", ""1 c. wesson oil"", ""3/4 c. strawberries (fresh or frozen)"", ""4 eggs""]","[""Mix strawberries and jello with white cake mix. Then add water and wesson oil and strawberries and eggs. Beat real good and bake at 350 degrees until done.""]",www.cookbooks.com/Recipe-Details.aspx?id=74826,Gathered,"[""white cake mix"", ""strawberry jello"", ""water"", ""wesson oil"", ""strawberries"", ""eggs""]",Everyday,Vanilla/Cream
55,Microwave Peanut Butter Fudge,"[""2/3 cup Land O Lakes Butter"", ""2/3 cup chunky-style peanut butter"", ""6 cups powdered sugar"", ""1/3 cup milk"", ""1 tablespoon vanilla""]","[""Butter 8-inch square baking pan; set aside."", ""Place butter and peanut butter into bowl."", ""Microwave 1 1/2-2 minutes or until butter melts; stir until well mixed."", ""Stir in all remaining ingredients until lumps of sugar disappear."", ""Microwave 1 1/2-2 minutes or until softened but not bubbly; stir."", ""Pour into prepared pan."", ""Cover; refrigerate at least 1 hour until firm."", ""Cut into squares."", ""Store refrigerated.""]",www.landolakes.com/recipe/8/microwave-peanut-butter-fudge,Recipes1M,"[""Butter"", ""chunky-style peanut butter"", ""powdered sugar"", ""milk"", ""vanilla""]",Everyday,Chocolate
61,Frozen Coconut Cake,"[""12 oz. bag frozen coconut"", ""2 c. sugar"", ""8 oz. tub sour cream"", ""1 yellow cake, baked as directed"", ""8 oz. Cool Whip""]","[""Mix first 3 ingredients and put in freezer."", ""Take yellow cake out of pan and split. Take first mixture out of freezer and put all but 1 cup between layers of cake."", ""Mix Cool Whip with remaining cup of the frozen mixture and use for the icing.""]",www.cookbooks.com/Recipe-Details.aspx?id=519385,Gathered,"[""frozen coconut"", ""sugar"", ""sour cream"", ""yellow cake""]",Everyday,Vanilla/Cream
68,Poached Pear Galette With Blue Cheese Ice Cream,"[""FOR THE POACHED PEARS:"", ""1 bottle Merlot Wine, 750 Ml Bottle"", ""1 Orange, Juiced"", ""1 piece 1\"" X 4\"" Size Piece Of Orange Zest"", ""2 whole Cloves"", ""1 whole Crushed Cinnamon Stick"", ""1/3 cups Brown Sugar"", ""1/3 cups Sugar"", ""1 whole Vanilla Bean Sliced Longways"", ""6 whole Peeled, Cut In Half And Cored D'Anjou Pears"", ""FOR THE GALETTE:"", ""2 cups Flour"", ""1 Tablespoon Sugar"", ""1 teaspoon Kosher Salt"", ""1 Orange, Zested"", ""8 ounces, weight Cold Unsalted Butter, Cut Into Small Chunks"", ""8 ounces, fluid Ice Cold Water"", ""1 whole Egg"", ""1 Tablespoon Milk"", ""2 Tablespoons Sugar In The Raw"", ""FOR THE ICE CREAM:"", ""14 ounces, weight Blue Cheese Crumbles"", ""1-1/2 cup Sugar"", ""1 Lemon, Zest And Juice"", ""1 teaspoon Kosher Salt"", ""1 quart Heavy Whipping Cream""]","[""For the poached pears:"", ""Add all ingredients except for the pears into a pot and boil together. Once it hits a boil, turn the heat down and add the pears. Place a lid on top and cook for 30 minutes. Next, remove the pears from the liquid, put them into a bowl and immediately place in the refrigerator until cold."", ""Next, simmer down the pear poaching wine liquid until it becomes a thick syrup, about 20 minutes. Cool once it has become thick."", ""For the galette dough:"", ""Add all of the ingredients (except for the ice water, egg, milk and sugar in the raw) into a food processor and process for 10 seconds. Next, slowly trickle in some of the ice cold water and continue trickling in more as you mix, until the dough is formed and flaky."", ""Place the dough on a clean surface and form into a disk. At this point you can wrap it in a sheet of plastic and chill or you can immediately roll it out."", ""Preheat oven to 400\u00b0F."", ""Put dough onto a lightly floured surface. Roll out the dough until it is 1/8 inch thick, and then place it on a sheet pan that you've lined with parchment paper. Then slice the chilled pears. Layer the pears starting from the center of the dough and leaving about a 2-inch border around the edge. Then fold up all the sides so that the crust covers some of the pears (the center pears will not be covered)."", ""Next, mix together the egg and milk in a small bowl. Using a pastry brush, brush the outside of the dough with the egg wash and then sprinkle with the sugar in the raw."", ""Bake in the oven on 400\u00b0F for 45 minutes."", ""For the ice cream (recipe makes about 1 1/2 quarts):"", ""Put the cream in a large pot and bring it almost to a boil but don't let it come to a full boil (scald it). Remove from heat. Put the blue cheese, sugar, lemon juice, lemon zest and salt in a large heat safe bowl. Pour the hot cream mixture over it and whisk until combined."", ""Chill the mixture in the refrigerator until completely cool and then pour it into your ice cream maker and churn ice cream according to manufacturer's instructions."", ""To serve: Serve the galette topped with a scoop of the ice cream and some of the Merlot sauce.""]",tastykitchen.com/recipes/desserts/poached-pear-galette-with-blue-cheese-ice-cream/,Gathered,"[""Merlot Wine"", ""Orange"", ""X"", ""Cinnamon Stick"", ""Brown Sugar"", ""Sugar"", ""Vanilla"", ""Flour"", ""Sugar"", ""Kosher Salt"", ""Orange"", ""Butter"", ""Water"", ""Egg"", ""Milk"", ""Sugar"", ""CREAM"", ""Crumbles"", ""Sugar"", ""Lemon"", ""Kosher Salt"", ""Cream""]",Everyday,Vanilla/Cream
69,Strawberry Pie,"[""1 1/2 c. sugar"", ""4 Tbsp. cornstarch"", ""1 1/2 c. water"", ""pinch of salt"", ""4 Tbsp. strawberry Jell-O"", ""2 c. fresh strawberries"", ""Cool Whip""]","[""Cook first 4 ingredients until thick."", ""Remove from heat."", ""Add Jell-O; cool."", ""Pour over fresh strawberries in cooked pie shell. Top with Cool Whip.""]",www.cookbooks.com/Recipe-Details.aspx?id=817649,Gathered,"[""sugar"", ""cornstarch"", ""water"", ""salt"", ""strawberry"", ""fresh strawberries""]",Everyday,Fruity/Berry
72,Gingerbread,"[""1 1/2 c. sifted flour"", ""1/4 tsp. soda"", ""1 tsp. baking powder"", ""1/4 c. sugar"", ""1/4 tsp. salt"", ""1 tsp. ginger"", ""1 tsp. cinnamon"", ""1/4 tsp. ground cloves"", ""1/2 c. milk"", ""1 egg, beaten"", ""1/2 c. molasses"", ""1/4 c. melted shortening or vegetable oil""]","[""Sift together dry ingredients. Add milk to beaten egg. Pour into dry ingredients and stir until smooth. Stir in molasses and shortening or oil. Pour batter into greased shallow pan (about 8 inches square). Bake at 350\u00b0 for 30 to 40 minutes. Serve warm or cooled with sweetened whipped cream.""]",www.cookbooks.com/Recipe-Details.aspx?id=87918,Gathered,"[""flour"", ""soda"", ""baking powder"", ""sugar"", ""salt"", ""ginger"", ""cinnamon"", ""ground cloves"", ""milk"", ""egg"", ""molasses"", ""shortening""]",Everyday,Spiced
76,Quick Coconut Cake,"[""1 (18 1/2 oz.) box Duncan Hines golden butter cake mix"", ""2 c. sugar"", ""2 c. sour cream"", ""2 (9 oz.) pkg. frozen coconut, thawed"", ""1 1/2 c. Cool Whip, thawed""]","[""Bake cake as directed using 2 layer pans."", ""Split each layer in half."", ""Combine sugar, sour cream and coconut."", ""Chill."", ""Reserve 1 cup sour cream mixture for frosting."", ""Spread remainder between layers of cake."", ""Combine reserved sour cream mixture with Cool Whip."", ""Blend until smooth."", ""Spread on top and sides of cake. Store in airtight container in refrigerator for 3 days before serving."", ""This cake is well worth waiting for!""]",www.cookbooks.com/Recipe-Details.aspx?id=349629,Gathered,"[""golden butter"", ""sugar"", ""sour cream"", ""frozen coconut""]",Everyday,Vanilla/Cream
78,Can't Eat Just One Cookies,"[""1 Ritz crackers"", ""1 creamy peanut butter"", ""1 bag white chocolate chips (melted)""]","[""Sandwich peanut butter between two crackers(not too thick)."", ""Melt chocolate in microwave or over double boiler"", ""Dip the crackers with peanut butter inside in chocolate and place on wax paper (or rack over a cookie sheet) to cool and let the chocolate reset)"", ""Eat, share with others and enjoy!""]",cookpad.com/us/recipes/358457-cant-eat-just-one-cookies,Recipes1M,"[""crackers"", ""peanut butter"", ""white chocolate chips""]",Everyday,Chocolate
81,Old Fashioned Apple Pie,"[""1 stick butter or oleo"", ""4 Tbsp. flour"", ""1 c. sugar""]","[""Line pie pan with crust."", ""Slice 1/2 stick of oleo on bottom crust."", ""Mix together sugar and flour and put 1/2 of this mixture over oleo."", ""Peel and slice enough tart apples to fill bottom crust heaping full."", ""Cover apples with remaining flour and sugar mixture."", ""Slice remaining 1/2 stick of oleo over top of sugar and flour."", ""Cover with pie crust."", ""Bake at 425\u00b0 for 10 minutes, reduce heat to 350\u00b0 and bake for 25 to 30 minutes longer."", ""Can mix cinnamon with flour and sugar, if desired."", ""Makes 9-inch pie.""]",www.cookbooks.com/Recipe-Details.aspx?id=390847,Gathered,"[""butter"", ""flour"", ""sugar""]",Everyday,Other
83,Individual Pecan Pies,"[""6 ounces flour, all-purpose"", ""5 ounces butter melted"", ""1 tablespoon powdered sugar"", ""1 tablespoon water"", ""3 1/2 ounces pecans broken large"", ""2 large eggs"", ""2 ounces brown sugar, dark"", ""5 ounces golden syrup""]","[""Mix together the flour, icing sugar, water and 4 oz of the melted butter."", ""(You should kneed together for a good mix)."", ""Divide between 6 x 4 inch flan tins or small bun tins and press up the edges (prick lightly with a fork to reduce the amount the centre rises)."", ""Place on a baking tray and blind bake in a preheated oven at 190C/375F/gas mark 5 for 10 to 15 minutes (until golden brown)."", ""Remove and divide the chopped pecans between the pastry cases."", ""Whisk the eggs, then stir in the sugar, syrup and remaining 1 oz melted butter."", ""Beat well and spoon into the pastry cases, filling almost to the top."", ""Return to the oven for 25 to 30 minutes, until set and golden."", ""Serve hot or cold with cream, creme fraishe or ice cream.""]",recipeland.com/recipe/v/individual-pecan-pies-42993,Recipes1M,"[""flour"", ""butter"", ""powdered sugar"", ""water"", ""pecans"", ""eggs"", ""brown sugar"", ""golden syrup""]",Everyday,Nutty
84,Corn Pie,"[""1 pkg. cornbread mix"", ""1 can cream-style corn"", ""3 eggs, separated"", ""1 can tomatoes"", ""2 chopped onions"", ""1/2 c. oil"", ""1/2 lb. Cheddar cheese, grated""]","[""Saute onions in oil."", ""Add tomatoes and cook 5 minutes."", ""Mix cornbread mix, corn, egg yolks and cheese."", ""Add tomato-onion mixture. Fold in beaten egg whites."", ""Pour into greased 9 x 12-inch baking dish."", ""Bake at 300\u00b0 for 1 hour.""]",www.cookbooks.com/Recipe-Details.aspx?id=190797,Gathered,"[""cornbread mix"", ""cream-style corn"", ""eggs"", ""tomatoes"", ""onions"", ""oil"", ""Cheddar cheese""]",Everyday,Vanilla/Cream
90,Chocolate Chip Ice Cream Cake,"[""1 liter chocolate ice cream, softened"", ""1 liter vanilla ice cream, softened"", ""1 (10 ounce) package of frozen sliced strawberries"", ""1 cup sugar, plus"", ""2 tablespoons sugar"", ""1/2 tablespoon cornstarch"", ""1/2 cup heavy cream"", ""4 ounces unsweetened chocolate"", ""1 tablespoon rum (optional)"", ""40 chocolate chip cookies"", ""1/4 cup butter, melted""]","[""Crush 20 of the cookies and mix the crumbs with the butter."", ""Pat mixture on the bottom of an 8 inch springform pan and put in the freezer for 15 minutes."", ""Now make a fudge sauce by putting the cream, chocolate and 1 cup of sugar in a saucepan and stirring constantly over low heat until the chocolate is melted."", ""Add rum if desired."", ""When the fudge sauce is cool, use about half of it to spread over the cookie crumb crust."", ""At this point, you also take the remaining chocolate chip cookies and stand them up along the edge of the pan."", ""Put the mixture back in the freezer for 15 minutes."", ""Take the ice cream out to soften at this point and start making the strawberry sauce."", ""Put the strawberries, two tablespoons of sugar and cornstarch in a saucepan and heat-- stirring occasionally-- until the strawberries form a thick sauce."", ""When the ice cream is fairly soft, take the pan out of the freezer and start spreading the ice cream in the pan."", ""You want to create a marbled effect by lightly mixing the two ice cream flavours together, but not so much that they become all one colour."", ""Swirl in the strawberry sauce."", ""Pour over the remaining fudge sauce and return to freezer until everything is firm, at least two hours."", ""To serve, remove the edge of the pan and let soften for 10-15 minutes.""]",www.food.com/recipe/chocolate-chip-ice-cream-cake-31012,Gathered,"[""chocolate ice cream"", ""vanilla ice cream"", ""strawberries"", ""sugar"", ""sugar"", ""cornstarch"", ""heavy cream"", ""chocolate"", ""rum"", ""chocolate chip cookies"", ""butter""]",Everyday,Chocolate
95,Addie'S Pound Cake,"[""3 sticks butter"", ""2 c. sugar"", ""3 c. flour"", ""1 tsp. baking powder"", ""1/2 tsp. salt"", ""2 tsp. flavoring (lemon)"", ""7 eggs (whole)""]","[""Cream butter and sugar."", ""Add eggs, one at a time, alternating with flour and flavoring."", ""Bake at 350\u00b0 for one hour."", ""Cover top with foil for a while.""]",www.cookbooks.com/Recipe-Details.aspx?id=1025806,Gathered,"[""butter"", ""sugar"", ""flour"", ""baking powder"", ""salt"", ""eggs""]",Everyday,Other
103,Frozen Lemon Mousse,"[""1 can milk"", ""2 lemons (juice and rind), grated"", ""1 c. sugar""]","[""Freeze milk until icy."", ""Whip milk until thick and fluffy."", ""Add sugar, a little at a time."", ""Add lemon juice and rind."", ""Save a little rind for the topping."", ""Place in buttered pan lined with vanilla wafers."", ""Sprinkle grated rind on top."", ""Freeze until ready to serve.""]",www.cookbooks.com/Recipe-Details.aspx?id=520461,Gathered,"[""milk"", ""lemons"", ""sugar""]",Everyday,Citrus
106,Soft And Easy Gingerbread Men,"[""2 1/4 cups all-purpose flour"", ""1/2 cup granulated sugar"", ""1/2 cup butter, softened"", ""1/3 cup molasses"", ""1/3 cup applesauce"", ""1 egg"", ""1 1/2 teaspoons ground cinnamon"", ""1 teaspoon baking powder"", ""1 teaspoon ground ginger"", ""1/2 teaspoon ground cloves"", ""1/2 teaspoon ground nutmeg"", ""1/2 teaspoon baking soda"", ""1/2 teaspoon salt""]","[""In a large bowl, with mixer at slow speed, beat flour, sugar, butter, molasses, applesauce, egg, cinnamon, baking powder, ginger, cloves, nutmeg, baking soda, and salt until well mixed. Cover and refrigerate 1 hour."", ""Preheat oven to 350\u00b0F On a lightly floured surface, working with half of the dough at a time, roll 1/8 inch thick. With floured cookie cutters, cut dough into shapes. Using a metal spatula or pancake turner, place cookies 1/2 inch apart on greased cookie sheets. Reroll trimmings and continue to cut shapes. Bake 8 minutes, or until very lightly browned. Transfer cookies to racks to cool completely.""]",www.food.com/recipe/soft-and-easy-gingerbread-men-353796,Gathered,"[""flour"", ""granulated sugar"", ""butter"", ""molasses"", ""applesauce"", ""egg"", ""ground cinnamon"", ""baking powder"", ""ground ginger"", ""ground cloves"", ""ground nutmeg"", ""baking soda"", ""salt""]",Everyday,Spiced
111,Grandma Elzey'S Divinity Fudge,"[""2 lbs granulated sugar"", ""1 cup Karo syrup"", ""1 tablespoon vinegar"", ""1 cup water"", ""1 pinch salt"", ""4 egg whites"", ""1/2 lb walnuts"", ""1 tablespoon vanilla""]","[""Cook syrup, vinegar, and salt to 265 degrees."", ""Beat slowly into well-beaten egg whites."", ""Add walnuts and vanilla."", ""When mixture begins to thicken, drop by the spoonful onto heavy waxed paper."", ""Pack fudge in airtight tin boxes or cans.""]",www.food.com/recipe/grandma-elzeys-divinity-fudge-103676,Gathered,"[""sugar"", ""syrup"", ""vinegar"", ""water"", ""salt"", ""egg whites"", ""walnuts"", ""vanilla""]",Everyday,Chocolate
114,Vidalia Onion Souffle,"[""6 to 8 oz. stale French bread, cubed"", ""1 stick butter"", ""3 Vidalia onions, sliced and separated"", ""1 c. shredded Swiss cheese"", ""1/2 tsp. dried thyme"", ""3 eggs"", ""2 c. light cream"", ""salt and pepper to taste""]","[""Place bread in 1 1/2 quart souffle dish."", ""Melt butter in large skillet and saute onion rings until tender-crisp."", ""Pour over bread."", ""Top with thyme and cheese."", ""Beat the eggs and blend in cream, salt and pepper."", ""Pour over the bread, onions and cheese, pressing with spatula to be sure bread is soaked."", ""Can be done ahead and refrigerated at this point."", ""Bring to room temperature before baking."", ""Bake at 350\u00b0 for 45 minutes or until puffed and golden.""]",www.cookbooks.com/Recipe-Details.aspx?id=208517,Gathered,"[""bread"", ""butter"", ""Vidalia onions"", ""Swiss cheese"", ""thyme"", ""eggs"", ""light cream"", ""salt""]",Everyday,Vanilla/Cream
120,Banana Bread,"[""1/2 c. butter or margarine"", ""1/2 c. sugar"", ""2 eggs"", ""2 c. sifted flour"", ""1 tsp. baking soda"", ""1/2 tsp. salt"", ""1 c. mashed bananas (about 3)"", ""1/2 c. finely chopped nuts""]","[""Cream butter and sugar thoroughly."", ""Add eggs, one at a time, and beat well."", ""Sift flour, soda and salt."", ""Add to creamed mixture alternately with banana puree."", ""Fold in nuts."", ""Pour into a greased 9 x 5 x 3-inch loaf pan."", ""Bake at 350\u00b0 for 55 or 60 minutes."", ""May double recipe and make 2 loaves at one time with success.""]",www.cookbooks.com/Recipe-Details.aspx?id=584321,Gathered,"[""butter"", ""sugar"", ""eggs"", ""flour"", ""baking soda"", ""salt"", ""bananas"", ""nuts""]",Everyday,Nutty
126,Spinach Pie,"[""16 oz. Muenster cheese slices"", ""2 pkg. chopped frozen spinach, cooked and drained"", ""2 eggs"", ""12 oz. Ricotta cheese"", ""1/4 tsp. salt and pepper""]","[""Line lightly greased pie plate with slices of Muenster cheese. Mix remaining ingredients and fill plate. Put remaining cheese on top as crust."", ""Bake at 375\u00b0 for 1/2 hour or until lightly browned.""]",www.cookbooks.com/Recipe-Details.aspx?id=653268,Gathered,"[""Muenster cheese"", ""frozen spinach"", ""eggs"", ""Ricotta cheese"", ""salt""]",Everyday,Other
127,Chocolate Cream Cheese Cinnamon Frosting,"[""1 (8 ounce) package cream cheese, softened"", ""1/2 cup butter, softened"", ""1 1/2 teaspoons vanilla"", ""1/4 teaspoon cinnamon (can use more)"", ""2 cups powdered sugar"", ""1/4 cup unsweetened baking cocoa (sifted)"", ""1/4 cup buttermilk""]","[""In a large bowl beat the cream cheese with butter, vanilla and cinnamon using an electric mixer until smooth and creamy (about 3 minutes)."", ""In another bowl mix together the powdered sugar with with sifted cocoa powder; add to the creamed mixture alternating with the buttermilk on low speed until combined."", ""Adjust with more buttermilk if needed to achieve desired consistany.""]",www.food.com/recipe/chocolate-cream-cheese-cinnamon-frosting-172265,Gathered,"[""cream cheese"", ""butter"", ""vanilla"", ""cinnamon"", ""powdered sugar"", ""baking cocoa"", ""buttermilk""]",Everyday,Chocolate
132,Chocolate Sour Cream Cake,"[""2 c. flour"", ""2 c. sugar"", ""1 tsp. salt"", ""4 Tbsp. cocoa"", ""2 sticks oleo"", ""1 c. hot water"", ""1 c. sour cream"", ""1 tsp. soda"", ""2 eggs, beaten""]","[""Combine flour, sugar and salt."", ""Bring cocoa, oleo and water to a boil."", ""Stir into flour mixture."", ""Mix cream and soda."", ""Add eggs and add to mixture."", ""Bake 25 to 30 minutes at 350\u00b0."", ""Best when topped with Betty Crocker chocolate sour cream frosting and is kept covered and refrigerated.""]",www.cookbooks.com/Recipe-Details.aspx?id=315293,Gathered,"[""flour"", ""sugar"", ""salt"", ""cocoa"", ""oleo"", ""water"", ""sour cream"", ""soda"", ""eggs""]",Everyday,Chocolate
